epi_date,Cases
5/15/22,1
5/16/22,0
5/17/22,1
5/18/22,0
5/19/22,1
5/20/22,2
5/21/22,2
5/22/22,2
5/23/22,3
5/24/22,1
5/25/22,2
5/26/22,2
5/27/22,2
5/28/22,0
5/29/22,2
5/30/22,1
5/31/22,6
6/1/22,2
6/2/22,5
6/3/22,6
6/4/22,1
6/5/22,1
6/6/22,7
6/7/22,9
6/8/22,14
6/9/22,7
6/10/22,12
6/11/22,5
6/12/22,4
6/13/22,8
6/14/22,21
6/15/22,15
6/16/22,17
6/17/22,13
6/18/22,15
6/19/22,5
6/20/22,15
6/21/22,22
6/22/22,27
6/23/22,25
6/24/22,49
6/25/22,25
6/26/22,23
6/27/22,91
6/28/22,59
6/29/22,69
6/30/22,100
7/1/22,115
7/2/22,74
7/3/22,58
7/4/22,81
7/5/22,121
7/6/22,132
7/7/22,130
7/8/22,170
7/9/22,116
7/10/22,85
7/11/22,233
7/12/22,169
7/13/22,212
7/14/22,231
7/15/22,239
7/16/22,133
7/17/22,113
7/18/22,379
7/19/22,245
7/20/22,281
7/21/22,245
7/22/22,319
7/23/22,150
7/24/22,110
7/25/22,407
7/26/22,378
7/27/22,460
7/28/22,299
7/29/22,400
7/30/22,160
7/31/22,149
8/1/22,473
8/2/22,438
8/3/22,426
8/4/22,436
8/5/22,424
8/6/22,138
8/7/22,78
8/8/22,754
8/9/22,409
8/10/22,366
8/11/22,314
8/12/22,280
8/13/22,39
8/14/22,10
8/15/22,670
8/16/22,361
8/17/22,347